,Unnamed: 0.2,giga_id_school,lat,lon,connectivity,school_locations,modis.LC_Type1.mode,modis.LC_Type1.var,modis.LC_Type1.evg_conif,modis.LC_Type1.evg_broad,modis.LC_Type1.dcd_needle,modis.LC_Type1.dcd_broad,modis.LC_Type1.mix_forest,modis.LC_Type1.cls_shrub,modis.LC_Type1.open_shrub,modis.LC_Type1.woody_savanna,modis.LC_Type1.savanna,modis.LC_Type1.grassland,modis.LC_Type1.perm_wetland,modis.LC_Type1.cropland,modis.LC_Type1.urban,modis.LC_Type1.crop_nat_veg,modis.LC_Type1.perm_snow,modis.LC_Type1.barren,modis.LC_Type1.water_bds,pop.population_density.var,pop.population_density.max,pop.population_density.min,human_settlement_layer_built_up.built_characteristics.mode,human_settlement_layer_built_up.built_characteristics.var,human_settlement_layer_built_up.built_characteristics.open_low_veg,human_settlement_layer_built_up.built_characteristics.open_med_veg,human_settlement_layer_built_up.built_characteristics.open_high_veg,human_settlement_layer_built_up.built_characteristics.open_water,human_settlement_layer_built_up.built_characteristics.open_road,human_settlement_layer_built_up.built_characteristics.built_res_30,human_settlement_layer_built_up.built_characteristics.built_non_res_3,human_settlement_layer_built_up.built_characteristics.built_non_res_3-6,human_settlement_layer_built_up.built_characteristics.built_non_res_6-15,human_settlement_layer_built_up.built_characteristics.built_non_res_15-30,human_settlement_layer_built_up.built_characteristics.build_non_res_30,human_settlement_layer_built_up.built_characteristics.built,global_human_modification.gHM.var,global_human_modification.gHM.min,transmission_line_distance,nightlight.avg_rad.var,nightlight.avg_rad.max,nightlight.avg_rad.min,nightlight.cf_cvg.var,nightlight.cf_cvg.max,nightlight.cf_cvg.min,avg_d_kbps_mobile,avg_u_kbps_mobile,avg_lat_ms_mobile,tests_mobile,devices_mobile,ookla_distance_mobile,avg_d_kbps_fixed,avg_u_kbps_fixed,avg_lat_ms_fixed,tests_fixed,devices_fixed,ookla_distance_fixed,connectivity.1,boundary_Barolong,boundary_Bobonong,boundary_Boteti,boundary_Chobe,boundary_Francistown,boundary_Gaborone,boundary_Ghanzi,boundary_Kgalagadi North,boundary_Kgalagadi South,boundary_Kgatleng,boundary_Kweneng East,boundary_Kweneng West,boundary_Lobatse,boundary_Mahalapye,boundary_Ngamiland East,boundary_Ngamiland West,boundary_Ngwaketse West,boundary_North East,boundary_Orapa,boundary_Selibe Phikwe,boundary_Serowe Palapye,boundary_South East,boundary_Southern,boundary_Sowa Town,boundary_Tutume,education_level,nearest_LTE_distance,nearest_UMTS_distance,nearest_GSM_distance
0,0,8e66ff38-712a-326c-ab25-caaa0c647f07,-25.647101100000004,25.407124300000003,1.0,"(25.407124300000003, -25.647101100000004)",10,0.0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,8.084397349092694e-12,56.14152526855469,56.14151382446289,11.0,18.82175831445699,0.0319888734353268,0.3310152990264255,0.1505563282336578,0.0,0.0285118219749652,0.0,0.4579276773296244,0.0,0.0,0.0,0.0,0.5420723226703755,0.0005415837641507,0.3013943433761596,380.1184469859655,0.0110083236422823,0.5683333377043406,0.224166665226221,0.2725,14.25,12.916666666666666,73699,3669,16,1,1,158.05452839748529,1782,1999,31,1,1,158.05452839748529,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,56.83,10.0,3.59
1,1,ad27df55-e661-322e-a8bb-279b9407eafa,-22.634903,26.4069183,1.0,"(26.4069183, -22.634903)",10,0.0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,1.0105496686365869e-13,5.427535533905029,5.427534580230713,2.0,24.60246492904975,0.0474620017206768,0.3715227989675939,0.1247490679667335,0.0,0.0066437243093394,0.0,0.0428735302552337,0.3280279132014148,0.0787209635790077,0.0,0.0,0.5503775929643437,0.0004269502401799,0.1488634496927261,353.4546791974947,0.4360880782168247,2.93083330988884,0.3075000001117587,0.1986239711934156,14.083333333333334,12.833333333333334,87697,41195,32,1,1,1018.6440599681628,3507,1758,37,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,70.92,0.27,0.79
2,2,98d7f916-52a2-3522-864f-491394c87cd5,-23.1351841,20.2843723,1.0,"(20.2843723, -23.1351841)",7,0.0,0,0,0,0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,2.4424906541753444e-15,0.914779543876648,0.9147793650627136,2.0,22.87229436001245,0.2230690134881751,0.361458900381056,0.0072582108510252,0.0,0.0038710457872134,0.0,0.2664368233230508,0.1379060061694792,0.0,0.0,0.0,0.5956571705074699,0.0031371444689252,0.0583999082446098,66.49636105200133,0.5739485808242005,3.578333338101705,0.2316666667660077,0.3389917695473251,14.5,12.75,65313,31036,33,1,1,55921.85088058371,11685,27758,67,1,1,105005.05934729784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,471.14,98.89,0.32
3,3,ed02334d-bdc7-3ad5-9826-2c2dc3b224a7,-24.9752168,25.3014105,1.0,"(25.3014105, -24.9752168)",10,2.16,0,0,0,0,0,0.0,0.0,0,0.0,0.6,0.0,0.0,0.4,0,0,0.0,0,5.364597654988756e-13,14.847415924072266,14.847413063049316,2.0,26.04163757449488,0.0677589180357629,0.3652536988290823,0.1318870835980757,0.0,0.0,0.0,0.0290006353816828,0.2300989380049015,0.1760007261504947,0.0,0.0,0.5648997004629209,0.0084343674440693,0.3679495751857757,282.4354340382852,0.6969643047499439,3.6758333444595337,0.4449999996771415,0.2071296296296296,13.75,12.583333333333334,206055,16797,9,1,1,2949.0835644193,5392,3669,16,2,1,1663.206673878368,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,45.13,1.48,1.55
4,4,dba21803-4bec-38ff-9df8-b7a3d5f7db79,-20.7537325,27.3568257,0.0,"(27.3568257, -20.7537325)",10,0.2899999999999999,0,0,0,0,0,0.0,0.0,0,0.0,0.9666666666666668,0.0,0.0,0.033333333,0,0,0.0,0,1.2351162616669396e-12,13.695772171020508,13.69576930999756,3.0,20.855729669776167,0.0249580033597312,0.2197024238060955,0.2993760499160067,0.0,0.0,0.0,0.1784257259419246,0.2775377969762419,0.0,0.0,0.0,0.5440364770818334,0.0025644217325433,0.218908354640007,890.5217598262421,0.0530352411466259,0.9458333353201548,0.1824999994908769,0.3833333333333333,14.333333333333334,12.75,3162,281,78,1,1,11749.264954203609,10406,3783,199,1,1,16845.07178473937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,48.28,16.82,2.45
5,5,4b2d3360-6746-3156-84af-4bb4cbf9464c,-25.5672426,25.4352537,0.0,"(25.4352537, -25.5672426)",10,0.0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,5.962243044955862e-12,56.14152145385742,56.14151382446289,11.0,19.86523709074845,0.0501193317422434,0.3500397772474145,0.1105807478122514,0.0,0.0,0.0,0.4892601431980907,0.0,0.0,0.0,0.0,0.5107398568019093,0.0004001931063897,0.2941010296344757,482.5124733480647,0.0817178324817592,0.987500009437402,0.195833330353101,0.2666666666666666,14.833333333333334,13.416666666666666,52323,7310,17,1,1,5249.051966587227,1782,1999,31,1,1,9735.127249930714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,47.74,3.14,2.05
6,6,22660f4a-8e91-3b69-bd99-c13533033868,-24.388469600000004,25.5985647,0.0,"(25.5985647, -24.388469600000004)",10,0.0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,4.850638409455617e-12,34.205406188964844,34.20539855957031,2.0,22.619730883281225,0.0296934865900383,0.3941570881226053,0.1099936143039591,0.0,0.0,0.0,0.2592592592592592,0.1329821200510855,0.0739144316730523,0.0,0.0,0.5338441890166028,0.0029697341162291,0.3127632737159729,72.11594341881573,1.4528249760441585,5.609166701634725,0.4499999992549419,0.3263888888888888,13.5,12.0,39833,26621,30,1,1,8905.056212771931,576,710,86,1,1,658.2691975785419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,26.68,1.39,2.71
7,7,310f4e31-346c-3f19-88c7-49ac576eb3e2,-25.024695,25.7466503,1.0,"(25.7466503, -25.024695)",10,0.0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,367.00785230470746,215.44802856445312,172.98428344726562,2.0,24.532543295274,0.0638183888033215,0.4048081430389071,0.0909395299002209,0.0,0.007834996316882,0.0,0.0867206857295921,0.2568137681644679,0.0890644880466081,0.0,0.0,0.5674010580593317,0.0008626447105002,0.455175518989563,140.99422332970423,3.1766250319264286,6.43583329518636,0.3125000012417634,0.2266666666666666,13.833333333333334,12.5,6245,18506,46,18,1,3522.961367672261,3695,3956,36,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,20.28,0.66,0.69
8,8,0c4d222c-0984-31c5-8d62-fc15c642605f,-18.5346059,25.6590823,0.0,"(25.6590823, -18.5346059)",10,0.0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,0.1934846695643631,2.4124789237976074,1.3823868036270142,2.0,22.39459467232264,0.010886205136928,0.2748766797074332,0.2580370811362477,0.0,0.0,0.0,0.2733458071100527,0.0952542949481204,0.0821568293927538,0.0,0.0,0.543799965980609,0.0003751170424557,0.0735721141099929,95.20917820418254,0.0869450134926115,1.2433333359658718,0.2424999984602133,0.1986666666666666,13.833333333333334,12.666666666666666,61684,26175,27,1,1,55141.83218831842,8248,7029,36,5,1,2866.198497979591,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,281.13,92.06,4.61
9,9,10c05c2f-7b64-37b8-9d97-78a50211bb48,-25.384433,25.3651313,0.0,"(25.3651313, -25.384433)",10,0.0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,3.7264019030974137e-13,14.84741497039795,14.847413063049316,11.0,19.7918418314256,0.0225806451612903,0.4,0.0854838709677419,0.0,0.0,0.0,0.4919354838709677,0.0,0.0,0.0,0.0,0.5080645161290323,0.0001597068155428,0.1718149185180664,36.02380341621934,0.0017740741739532,0.3283333362390597,0.1808333316196997,0.2628703703703703,14.083333333333334,12.833333333333334,52323,7310,17,1,1,20810.172478867087,62353,54443,14,17,2,7792.724832508069,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,37.69,9.59,9.41
