,Unnamed: 0.2,giga_id_school,lat,lon,connectivity,school_locations,modis.LC_Type1.mode,modis.LC_Type1.var,modis.LC_Type1.evg_conif,modis.LC_Type1.evg_broad,modis.LC_Type1.dcd_needle,modis.LC_Type1.dcd_broad,modis.LC_Type1.mix_forest,modis.LC_Type1.cls_shrub,modis.LC_Type1.open_shrub,modis.LC_Type1.woody_savanna,modis.LC_Type1.savanna,modis.LC_Type1.grassland,modis.LC_Type1.perm_wetland,modis.LC_Type1.cropland,modis.LC_Type1.urban,modis.LC_Type1.crop_nat_veg,modis.LC_Type1.perm_snow,modis.LC_Type1.barren,modis.LC_Type1.water_bds,pop.population_density.var,pop.population_density.max,pop.population_density.min,human_settlement_layer_built_up.built_characteristics.mode,human_settlement_layer_built_up.built_characteristics.var,human_settlement_layer_built_up.built_characteristics.open_low_veg,human_settlement_layer_built_up.built_characteristics.open_med_veg,human_settlement_layer_built_up.built_characteristics.open_high_veg,human_settlement_layer_built_up.built_characteristics.open_water,human_settlement_layer_built_up.built_characteristics.open_road,human_settlement_layer_built_up.built_characteristics.built_res_30,human_settlement_layer_built_up.built_characteristics.built_non_res_3,human_settlement_layer_built_up.built_characteristics.built_non_res_3-6,human_settlement_layer_built_up.built_characteristics.built_non_res_6-15,human_settlement_layer_built_up.built_characteristics.built_non_res_15-30,human_settlement_layer_built_up.built_characteristics.build_non_res_30,human_settlement_layer_built_up.built_characteristics.built,global_human_modification.gHM.var,global_human_modification.gHM.min,transmission_line_distance,nightlight.avg_rad.var,nightlight.avg_rad.max,nightlight.avg_rad.min,nightlight.cf_cvg.var,nightlight.cf_cvg.max,nightlight.cf_cvg.min,avg_d_kbps_mobile,avg_u_kbps_mobile,avg_lat_ms_mobile,tests_mobile,devices_mobile,ookla_distance_mobile,avg_d_kbps_fixed,avg_u_kbps_fixed,avg_lat_ms_fixed,tests_fixed,devices_fixed,ookla_distance_fixed,connectivity.1,boundary_Barolong,boundary_Bobonong,boundary_Boteti,boundary_Chobe,boundary_Francistown,boundary_Gaborone,boundary_Ghanzi,boundary_Kgalagadi North,boundary_Kgalagadi South,boundary_Kgatleng,boundary_Kweneng East,boundary_Kweneng West,boundary_Lobatse,boundary_Mahalapye,boundary_Ngamiland East,boundary_Ngamiland West,boundary_Ngwaketse West,boundary_North East,boundary_Orapa,boundary_Selibe Phikwe,boundary_Serowe Palapye,boundary_South East,boundary_Southern,boundary_Sowa Town,boundary_Tutume,education_level,nearest_LTE_distance,nearest_UMTS_distance,nearest_GSM_distance
0,0,c57b8203-8970-3cc9-a171-6830625b99d6,-23.4432624,21.220654,1.0,"(21.220654, -23.4432624)",7,0.0,0,0,0,0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,1.4035412064397042e-15,0.5504260063171387,0.5504258871078491,11.0,22.73162094452084,0.290192926045016,0.2495980707395498,0.0,0.0,0.0,0.0,0.460209003215434,0.0,0.0,0.0,0.0,0.5397909967845659,6.956505309286875e-06,0.0328787714242935,42059.18312538709,0.0029873055151379,0.3408333336313565,0.1558333368351061,0.4233333333333333,15.083333333333334,13.083333333333334,72321,31103,42,1,1,79477.2261488181,139400,13488,319,1,1,129425.81766592192,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,439.83,161.45,82.9
1,1,9d80179f-62ab-31b5-a44d-c38d0c725047,-21.887355,27.7598343,1.0,"(27.7598343, -21.887355)",10,0.0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,5.0527483431829344e-14,5.485939025878906,5.485938549041748,2.0,30.15983562304987,0.1638739946380697,0.3229445933869526,0.0401027703306523,0.0,0.0,0.0,0.042281054512958,0.1435991957104557,0.282171581769437,0.0,0.0,0.5269213583556747,0.0006159735801721,0.3423661887645721,1295.178099671638,1.0092548057216293,4.238333284854889,0.6566666637857755,0.3503703703703704,14.166666666666666,12.75,30662,12637,29,1,1,4246.34431555501,1946,874,34,1,1,2154.6760605294257,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,13.77,0.35,0.32
2,2,ee588b76-4a2f-3a57-af8a-2532fbddb2f7,-20.4911266,27.0419292,1.0,"(27.0419292, -20.4911266)",7,2.25,0,0,0,0,0,0.0,0.5,0,0.0,0.5,0.0,0.0,0.0,0,0,0.0,0,4.263256414560601e-14,4.543508052825928,4.5435075759887695,2.0,27.72148407683621,0.0866411353908538,0.3072764136066682,0.1051588195539535,0.0001802207704437,0.0138319441315611,0.0,0.022707817075918,0.1904482991664789,0.2726740256814597,0.0,0.0,0.5130885334534805,0.0027871837625761,0.3277029395103454,65.20508540539987,4.948222970062489,8.535000011324883,1.429166667163372,0.1661333333333333,14.5,13.416666666666666,57250,3311,33,1,1,5483.089028023908,3659,728,28,3,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,89.21,0.99,0.3
3,3,7243c1e3-4071-3feb-9763-79535cf24d80,-25.3129467,25.2705668,0.0,"(25.2705668, -25.3129467)",10,0.0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,1.4147695360912217e-12,14.847415924072266,14.847412109375,2.0,23.324291586312693,0.1180442374854481,0.3871168024835079,0.0335273573923166,0.0,0.0082266201008925,0.0,0.2160651920838183,0.2370197904540163,0.0,0.0,0.0,0.5469150174621653,0.001460339259102,0.2582179605960846,58.89396349341289,0.291310843920486,2.440833300352097,0.4516666703857481,0.3074666666666666,14.25,12.833333333333334,52323,7310,17,1,1,32094.7218334074,62353,54443,14,17,2,20970.38563434292,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,42.94,1.8,6.12
4,4,f2deb7e0-8a10-3849-b3a5-66eb56ef868b,-21.9980295,28.4261398,1.0,"(28.4261398, -21.9980295)",10,1.8144,0,0,0,0,0,0.0,0.0,0,0.0,0.72,0.0,0.0,0.28,0,0,0.0,0,1.1842378929335004e-13,5.4859395027160645,5.485938549041748,2.0,25.815202357656847,0.1318975955717004,0.2689846047396644,0.1239404947240961,0.0,0.0,0.0,0.1147725307040304,0.2181283514962809,0.1422764227642276,0.0,0.0,0.524822695035461,0.0284997953501205,0.2378211468458175,952.524207911232,0.7747372256077493,3.215000033378601,0.3283333275467157,0.2998328189300411,14.916666666666666,13.25,26777,6415,33,2,1,2894.238152831773,17818,12821,12,2,1,2322.2240612004507,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,59.87,2.6,1.38
5,5,88222cdc-6e83-3747-90c7-e0099fb18880,-21.1643644,27.519257,1.0,"(27.519257, -21.1643644)",13,1.0399999999999998,0,0,0,0,0,0.0,0.0,0,0.0,0.1333333333333333,0.0,0.0,0.8666666666666667,0,0,0.0,0,9.198247650523246e-09,1249.3355712890625,1249.3353271484375,13.0,29.093955085382287,0.1307945751283426,0.2553061068117385,0.0909891962301739,0.0,0.0501111025975021,0.0,0.0061681097233928,0.0479273618879779,0.4155620258983986,0.0031415217224733,0.0,0.5272009807677572,0.0071640703638193,0.6905553936958313,1041.0288653026034,139.76739564298967,47.34083318710327,2.182499974966049,0.2451774691358024,14.666666666666666,13.25,8417,1020,35,1,1,253.00420158635828,9361,3039,39,9,5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.63,0.17,0.65
6,6,5caa76d6-1c05-372e-9ca2-2577991191c3,-24.1357145,21.2575537,1.0,"(21.2575537, -24.1357145)",7,1.6416000000000002,0,0,0,0,0,0.0,0.76,0,0.0,0.24,0.0,0.0,0.0,0,0,0.0,0,8.635067969306771e-16,0.5504260063171387,0.5504258871078491,11.0,23.490156404823388,0.3823694553621561,0.1600224592925322,0.0,0.0,0.0,0.0,0.4576080853453116,0.0,0.0,0.0,0.0,0.5423919146546884,4.285769033990601e-06,0.0259612333029508,58983.92778944514,0.0023613361797665,0.362500000745058,0.1658333335071802,0.4358924897119341,15.0,13.166666666666666,72321,31103,42,1,1,108279.46615860592,139400,13488,319,1,1,75234.82717341784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,462.5,163.47,54.86
7,7,f92b84c2-f232-30da-9047-25f0fa8c43ab,-22.4253698,26.7434198,0.0,"(26.7434198, -22.4253698)",13,0.2430555555555556,0,0,0,0,0,0.0,0.0,0,0.0,0.0277777777777777,0.0,0.0,0.9722222222222222,0,0,0.0,0,2.2105774001425334e-13,5.427536010742188,5.427534103393555,13.0,34.08197956953324,0.1808348065801696,0.3415036107032631,0.0355077457825188,0.0,0.0066820483624486,0.0,0.000299643424325,0.0525874209690468,0.3671231234830551,0.0,0.0,0.5645282114284002,0.006877107384344,0.5711624026298523,36.78151348000393,7.802053986033886,11.025833288828531,2.1858333349227905,0.4349074074074073,14.75,12.916666666666666,52295,29773,37,1,1,0.0,2056,2152,55,4,1,503.988008776214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,37.71,0.64,0.08
8,8,0c72e19b-7cea-327c-9f70-c689235e5c3f,-25.634477800000003,25.5409035,0.0,"(25.5409035, -25.634477800000003)",10,0.0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,25.91707429083625,74.56101989746094,56.14151382446289,11.0,18.97931833678568,0.015131793036121,0.3688577936869509,0.1602668402212821,0.0,0.0035795639440286,0.0,0.4521640091116173,0.0,0.0,0.0,0.0,0.5478359908883826,0.0034163337217195,0.3210106492042541,115.95009373687208,0.0218005555299297,0.7624999930461248,0.22916666790843,0.1701851851851852,14.166666666666666,13.333333333333334,30483,7462,26,1,1,8193.516763375768,42240,20504,35,1,1,9528.573083293772,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,50.42,4.08,1.69
9,9,c5ca9628-8561-32f7-b977-5edc690fa906,-24.6599755,24.8016189,1.0,"(24.8016189, -24.6599755)",10,2.0736000000000003,0,0,0,0,0,0.0,0.36,0,0.0,0.64,0.0,0.0,0.0,0,0,0.0,0,3.5088530160992604e-15,1.055838942527771,1.0558388233184814,2.0,27.51097981231215,0.0906473669478987,0.4206485665160542,0.0408652884961413,0.0,0.0,0.0,0.0261505857891159,0.2153224839057939,0.2063657083449958,0.0,0.0,0.5521612219600943,0.0032510876622881,0.1868586540222168,1.916287948285097,0.731484593279192,3.744166652361552,0.4091666663686434,0.2766846707818929,14.75,13.166666666666666,30023,2486,28,1,1,9833.261462404842,3742,6399,102,2,2,657.8703753746023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,101.67,3.8,0.41
