,Unnamed: 0.1,Unnamed: 0,giga_id_school,lat,lon,school_locations,modis.LC_Type1.mode,modis.LC_Type1.var,modis.LC_Type1.evg_conif,modis.LC_Type1.evg_broad,modis.LC_Type1.dcd_needle,modis.LC_Type1.dcd_broad,modis.LC_Type1.mix_forest,modis.LC_Type1.cls_shrub,modis.LC_Type1.open_shrub,modis.LC_Type1.woody_savanna,modis.LC_Type1.savanna,modis.LC_Type1.grassland,modis.LC_Type1.perm_wetland,modis.LC_Type1.cropland,modis.LC_Type1.crop_nat_veg,modis.LC_Type1.perm_snow,modis.LC_Type1.barren,modis.LC_Type1.water_bds,pop.population_density.var,pop.population_density.max,pop.population_density.min,human_settlement_layer_built_up.built_characteristics.mode,human_settlement_layer_built_up.built_characteristics.open_low_veg,human_settlement_layer_built_up.built_characteristics.open_med_veg,human_settlement_layer_built_up.built_characteristics.open_high_veg,human_settlement_layer_built_up.built_characteristics.open_water,human_settlement_layer_built_up.built_characteristics.open_road,human_settlement_layer_built_up.built_characteristics.built_non_res_3,human_settlement_layer_built_up.built_characteristics.built_non_res_3-6,human_settlement_layer_built_up.built_characteristics.built_non_res_6-15,human_settlement_layer_built_up.built_characteristics.built_non_res_15-30,human_settlement_layer_built_up.built_characteristics.build_non_res_30,human_settlement_layer_built_up.built_characteristics.built,global_human_modification.gHM.var,global_human_modification.gHM.max,global_human_modification.gHM.min,transmission_line_distance,nightlight.avg_rad.min,nightlight.cf_cvg.var,nightlight.cf_cvg.max,nightlight.cf_cvg.min,avg_d_kbps_mobile,avg_u_kbps_mobile,avg_lat_ms_mobile,tests_mobile,devices_mobile,ookla_distance_mobile,avg_d_kbps_fixed,avg_u_kbps_fixed,avg_lat_ms_fixed,tests_fixed,devices_fixed,ookla_distance_fixed,connectivity
0,2872,2872.0,161476d1-422a-45ac-b54b-ff0aa99936e3,-1.59806,30.3015833,"(30.3015833, -1.59806)",12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.574110222175532,659.1818237304688,647.1724853515625,11.0,0.0,0.0923379174852652,0.387033398821218,0.0,0.0477406679764243,0.4728880157170923,0.0,0.0,0.0,0.0,0.5271119842829076,7.460986445669467e-05,0.3755144476890564,0.3476414978504181,2440.31525599087,0.2275000015894571,0.4580555555555556,4.916666666666667,3.25,26765.0,5067.0,29.0,1.0,1.0,10559.820931099424,37111.0,5549.0,265.0,1.0,1.0,2008.921913845588,1
1,207,207.0,16fd3a11-37ad-469f-a96c-e03688973be5,-2.51861,29.49594,"(29.49594, -2.51861)",10.0,0.8544000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.84,0.0,0.04,0.04,0.0,0.0,0.0,76.88367652810282,598.6270141601562,571.1580810546875,3.0,0.0,0.0988892869939089,0.4319240415621641,0.0,0.0,0.4188462916517377,0.0490863489788606,0.0012540308133285,0.0,0.0,0.5308133285560731,0.0003104122482729,0.7920148372650146,0.7405380606651306,1377.2305602987765,0.1783333333830038,0.3742592592592592,3.6666666666666665,2.25,14493.0,1624.0,27.0,19.0,2.0,15639.551171914263,4603.0,4623.0,14.0,1.0,1.0,12497.896185482385,0
2,90,90.0,9526a18f-897b-4e52-8860-4deaec7b20b6,-1.977,30.2557,"(30.2557, -1.977)",12.0,0.982222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333,0.0,0.7,0.2666666666666666,0.0,0.0,0.0,1.1957721945680215e-09,674.2242431640625,674.22412109375,3.0,0.0013924514474166,0.0985709050934408,0.3863686331989739,0.0,0.0194210333455478,0.1848296079149871,0.3094173689996335,0.0,0.0,0.0,0.5057530230853793,0.0032742644375368,0.5849406123161316,0.3980458676815033,2468.2973589220915,0.8266666581233343,0.451710390946502,5.166666666666667,3.6666666666666665,31704.0,14240.0,19.0,13.0,1.0,2520.697707928837,7160.0,7855.0,72.0,5.0,1.0,1208.8203723528388,1
3,941,941.0,38b6e687-3b72-4f2c-989b-9dd33859805a,-2.199527778,30.20536111,"(30.20536111, -2.199527778)",10.0,0.3055555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.75,0.0,0.0277777777777777,0.0,0.0,0.0,0.0,0.018010274041444,337.0791015625,336.593505859375,2.0,0.0615869747087972,0.3677842847030053,0.127936160628097,0.0,0.0109402149430465,0.0666709569470365,0.2187399446553832,0.1463414634146341,0.0,0.0,0.5682476349829462,0.0042765116203714,0.5785062909126282,0.3616636991500854,713.0465066901718,0.4716666601598263,0.2314666666666666,5.333333333333333,4.333333333333333,22310.0,3122.0,21.0,1.0,1.0,3745.954603370337,17643.0,17727.0,3.0,1.0,1.0,3853.9562347785336,1
4,1650,1650.0,3eff6847-29cd-486f-a4d8-6ca25d64002e,-1.9539,30.36413,"(30.36413, -1.9539)",10.0,2.648888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666666,0.0,0.3333333333333333,0.3,0.0,0.0,0.0,8104.054343227803,799.7138061523438,592.0377197265625,3.0,0.0,0.0477067977067977,0.4633497133497133,0.0,0.0179156429156429,0.4425675675675675,0.0284602784602784,0.0,0.0,0.0,0.528972153972154,0.0043944070157397,0.6505077481269836,0.4335412383079529,220.7486794082689,0.4174999954799811,0.2042592592592592,5.333333333333333,4.166666666666667,5038.0,917.0,15.0,2.0,1.0,3546.0473255699417,23057.0,13224.0,4.0,2.0,1.0,1528.1224473877762,1
5,521,521.0,a5f3df2f-5d86-491c-9d58-c316b38f6ff8,-2.58761,29.82164,"(29.82164, -2.58761)",12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.034802860683864e-09,472.7144165039063,472.71429443359375,11.0,0.0007720517274657,0.0990156340474811,0.4028179888052499,0.0009650646593321,0.0,0.4964292607604709,0.0,0.0,0.0,0.0,0.503570739239529,0.013447865598719,0.7101702094078064,0.3721820116043091,1935.374774897882,0.1658333341280619,0.7306666666666667,4.5,2.6666666666666665,3270.0,689.0,51.0,3.0,1.0,7255.971582346639,4030.0,4507.0,19.0,2.0,1.0,5368.791139225941,0
6,1908,1908.0,5ce2ebff-6de3-4237-9e37-fdf2002bc788,-2.14778,30.175390000000004,"(30.175390000000004, -2.14778)",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,82.40012395725353,366.2333679199219,337.0790405273437,3.0,0.0703073904512753,0.0408763897972531,0.4591236102027469,0.0,0.0,0.2943100065402224,0.0,0.0,0.0,0.0,0.5703073904512753,4.5314304296593416e-05,0.3541589081287384,0.3326264321804046,450.6864798175807,0.4241666669646899,0.2033333333333332,4.75,3.6666666666666665,2365.0,673.0,28.0,2.0,1.0,5969.269921996918,1109.0,1140.0,492.0,1.0,1.0,6918.5066668101545,1
7,3049,3049.0,a092cc9a-d316-4fd6-8d78-226b315ed07d,-2.027833333,30.56380556,"(30.56380556, -2.027833333)",12.0,0.2943999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.08,0.0,0.0,0.0,16079.527500708711,985.131591796875,647.2168579101562,3.0,0.0033866415804327,0.1405456255879586,0.3133584195672624,0.0,0.0297271872060206,0.1332079021636876,0.1952022577610536,0.1845719661335842,0.0,0.0,0.4870178739416745,0.007748751291723,0.6511594653129578,0.373833954334259,86.60855146776886,0.2016666630903879,0.3098148148148148,4.416666666666667,2.833333333333333,3471.0,1505.0,32.0,2.0,1.0,1326.4384445902642,13405.0,8508.0,24.0,1.0,1.0,3857.359040776293,0
8,3091,3091.0,4b159b67-2d49-4cac-a798-773769bede6e,-1.595111111,29.56241667,"(29.56241667, -1.595111111)",14.0,0.5555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.8333333333333334,0.0,0.0,0.0,1.1267430219615315,447.5981140136719,444.2189025878906,11.0,0.0031309556221072,0.1272801524639259,0.3577457119520827,0.0,0.0453307922679009,0.4665123876939831,0.0,0.0,0.0,0.0,0.5334876123060169,2.010558534983448e-05,0.7388845682144165,0.7240463495254517,2951.987914261924,0.190000000099341,0.659537037037037,5.166666666666667,3.0,4564.0,2539.0,193.0,6.0,2.0,12554.43211092254,20566.0,45655.0,34.0,4.0,1.0,4705.897598980712,0
9,3239,3239.0,a5ebb84f-3229-44b1-877b-94bc74de40a2,-2.272722222,30.6835,"(30.6835, -2.272722222)",14.0,6.2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.4,0.0,0.04,0.0,0.52,0.0,0.0,0.0,110.02716782689096,580.7013549804688,547.3243408203125,11.0,0.000548145441257,0.0769230769230769,0.3827882331445277,0.0,0.0486022291247944,0.4039831902064681,0.0871551251598757,0.0,0.0,0.0,0.5088616846336561,0.0037379841828243,0.6862640976905823,0.507727861404419,21.664548551896587,0.0808333350966373,0.5028935185185185,4.583333333333333,2.5,27698.0,6178.0,23.0,1.0,1.0,0.0,12886.0,12755.0,22.0,2.0,1.0,0.0,0
