,Unnamed: 0.2,giga_id_school,lat,lon,school_locations,modis.LC_Type1.mode,modis.LC_Type1.var,modis.LC_Type1.evg_conif,modis.LC_Type1.evg_broad,modis.LC_Type1.dcd_needle,modis.LC_Type1.dcd_broad,modis.LC_Type1.mix_forest,modis.LC_Type1.cls_shrub,modis.LC_Type1.open_shrub,modis.LC_Type1.woody_savanna,modis.LC_Type1.savanna,modis.LC_Type1.grassland,modis.LC_Type1.perm_wetland,modis.LC_Type1.cropland,modis.LC_Type1.crop_nat_veg,modis.LC_Type1.perm_snow,modis.LC_Type1.barren,modis.LC_Type1.water_bds,pop.population_density.var,pop.population_density.max,pop.population_density.min,human_settlement_layer_built_up.built_characteristics.mode,human_settlement_layer_built_up.built_characteristics.open_low_veg,human_settlement_layer_built_up.built_characteristics.open_med_veg,human_settlement_layer_built_up.built_characteristics.open_high_veg,human_settlement_layer_built_up.built_characteristics.open_water,human_settlement_layer_built_up.built_characteristics.open_road,human_settlement_layer_built_up.built_characteristics.built_non_res_3,human_settlement_layer_built_up.built_characteristics.built_non_res_3-6,human_settlement_layer_built_up.built_characteristics.built_non_res_6-15,human_settlement_layer_built_up.built_characteristics.built_non_res_15-30,human_settlement_layer_built_up.built_characteristics.build_non_res_30,human_settlement_layer_built_up.built_characteristics.built,global_human_modification.gHM.var,global_human_modification.gHM.max,global_human_modification.gHM.min,transmission_line_distance,nightlight.avg_rad.min,nightlight.cf_cvg.var,nightlight.cf_cvg.max,nightlight.cf_cvg.min,avg_d_kbps_mobile,avg_u_kbps_mobile,avg_lat_ms_mobile,tests_mobile,devices_mobile,ookla_distance_mobile,avg_d_kbps_fixed,avg_u_kbps_fixed,avg_lat_ms_fixed,tests_fixed,devices_fixed,ookla_distance_fixed,connectivity,boundary_Bugesera,boundary_Burera,boundary_Gakenke,boundary_Gasabo,boundary_Gatsibo,boundary_Gicumbi,boundary_Gisagara,boundary_Huye,boundary_Kamonyi,boundary_Karongi,boundary_Kayonza,boundary_Kicukiro,boundary_Kirehe,boundary_Muhanga,boundary_Musanze,boundary_Ngoma,boundary_Ngororero,boundary_Nyabihu,boundary_Nyagatare,boundary_Nyamagabe,boundary_Nyamasheke,boundary_Nyanza,boundary_Nyarugenge,boundary_Nyaruguru,boundary_Rubavu,boundary_Ruhango,boundary_Rulindo,boundary_Rusizi,boundary_Rutsiro,boundary_Rwamagana,education_level,nearest_LTE_distance,nearest_UMTS_distance,nearest_GSM_distance
0,0,91e62e02-0a07-4c09-b5c5-de70296b10d3,-2.61775,29.04661,"(29.04661, -2.61775)",14.0,3.472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,2447.9197050099388,606.9766235351562,482.1875915527344,11.0,0.0,0.0344275420336269,0.4039231385108086,0.0,0.0704563650920736,0.4911929543634908,0.0,0.0,0.0,0.0,0.5088070456365092,0.0027953452751733,0.544327437877655,0.3659648895263672,2637.5039546564217,0.0999999990065892,0.1183999999999999,3.083333333333333,2.25,31440.0,7887.0,29.0,2.0,1.0,3101.4562837407825,7323.0,8273.0,22.0,1.0,1.0,18803.370708338905,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,21.11,17.66,3.82
1,1,6c11c6e7-7cd2-49b9-b7aa-f3c805ed8af2,-2.24325,29.69066667,"(29.69066667, -2.24325)",12.0,0.2943999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.08,0.0,0.0,0.0,16079.527500708711,985.131591796875,647.2168579101562,3.0,0.0030490709861838,0.1460695569318723,0.2981419723677941,0.0002858504049547,0.0324916626965221,0.1585516912815626,0.1784659361600762,0.1829442591710338,0.0,0.0,0.4800381133873273,0.0088292501257184,0.6511594653129578,0.3853600025177002,452.7676178754095,0.202499999354283,0.3303703703703703,4.5,3.0,9645.0,24848.0,21.0,14.0,3.0,13699.09971849866,4333.0,2054.0,20.0,1.0,1.0,13955.44028970899,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,38.5,0.61,6.67
2,2,a43f5e11-fcb6-40f9-ad59-373308bd6d39,-1.7915833330000002,30.12494444,"(30.12494444, -1.7915833330000002)",12.0,0.982222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666666666666667,0.4333333333333333,0.0,0.0,0.0,4711.992708411766,701.182373046875,523.355712890625,3.0,0.0,0.020097912909044,0.5172635918577686,0.0,0.0086317959288843,0.454006699304303,0.0,0.0,0.0,0.0,0.545993300695697,0.0080793040917493,0.7269934415817261,0.4977924525737762,701.9585625333713,0.3283333306511243,0.3389333333333333,5.0,3.5,1395.0,975.0,21.0,1.0,1.0,734.3789261319034,9389.0,8946.0,10.0,2.0,1.0,3105.651440612506,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,14.83,6.01,1.0
3,3,33f1f493-ff37-474f-a70e-ef0089c8dc39,-1.376111111,30.37027778,"(30.37027778, -1.376111111)",12.0,1.6896000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.52,0.36,0.0,0.0,0.0,1642.2088148303003,466.7666015625,337.0362243652344,11.0,0.0104244229337304,0.1157855547282204,0.3302308265078183,0.0,0.0532390171258376,0.4903201787043931,0.0,0.0,0.0,0.0,0.5096798212956068,0.0002303699425739,0.360247939825058,0.3151386082172394,870.7283712508738,0.2633333344322939,0.3749333333333333,5.416666666666667,4.333333333333333,27763.0,7864.0,19.0,1.0,1.0,9798.648900012971,44098.0,43414.0,4.0,4.0,1.0,8371.737144941957,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,67.28,9.42,1.19
4,4,29fcecdb-532f-4fd0-9458-eed84dfd3d7f,-1.961916667,30.13447222,"(30.13447222, -1.961916667)",13.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,864620.0225192015,6046.39453125,2753.01025390625,13.0,0.1667897019470333,0.2204484635969364,0.0661160837870259,0.0,0.0355264372058687,0.0069207345206237,0.022423179846821,0.477115437851804,0.0,0.0,0.4888806865368644,0.0039683196453302,0.9269147515296936,0.7478248476982117,463.66068455385647,10.415833314259848,0.312,4.5,2.9166666666666665,54224.0,35969.0,22.0,6.0,6.0,0.0,27498.0,30439.0,52.0,7.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.04,0.14,0.13
5,5,6525ce69-bb74-4979-be6e-014b468755a2,-2.275111111,30.46719444,"(30.46719444, -2.275111111)",9.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.530616130679846e-10,364.6364135742188,364.6363220214844,3.0,0.0,0.0386009138175515,0.4882621711044588,0.0,0.0,0.4731369150779896,0.0,0.0,0.0,0.0,0.5268630849220104,0.0110125183345938,0.6836727857589722,0.3461499810218811,2504.308955712122,0.1433333307504653,0.4541333333333334,5.666666666666667,4.083333333333333,1368.0,9896.0,303.0,2.0,1.0,15448.690395653064,2206.0,3000.0,85.0,4.0,1.0,18075.83480906967,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,46.66,11.65,9.02
6,6,789f5fa2-63d3-4ddb-a935-47e144d45c8a,-1.816194444,30.21052778,"(30.21052778, -1.816194444)",14.0,2.878858024691358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333333,0.083333333,0.0,0.2222222222222222,0.6111111111111112,0.0,0.0,0.0,101.97479095136644,499.0157775878906,462.345947265625,3.0,0.0,0.0170150704910063,0.5321665856425215,0.0,0.0,0.4508183438664722,0.0,0.0,0.0,0.0,0.5491816561335278,0.0053592137439116,0.5729021430015564,0.3372338414192199,5615.310314985549,0.218333334972461,0.6231481481481481,5.416666666666667,3.4166666666666665,1395.0,975.0,21.0,1.0,1.0,9613.936472317992,4639.0,73.0,655.0,1.0,1.0,3610.187510959616,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16.5,2.12,1.78
7,7,e3adf855-8318-4e30-ac3a-cd6498003a45,-1.52422,29.78461,"(29.78461, -1.52422)",12.0,3.7536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.04,0.0,0.36,0.36,0.0,0.0,0.0,192758.8036681629,1385.542236328125,268.5819396972656,3.0,0.0,0.034115994380895,0.4948826008428657,0.0,0.0132450331125827,0.4577563716636564,0.0,0.0,0.0,0.0,0.5422436283363435,0.0013354177024086,0.4469269514083862,0.3111703097820282,5961.216451281426,0.1316666662072141,1.5986666666666665,5.833333333333333,2.583333333333333,49740.0,3412.0,362.0,1.0,1.0,9050.70367639668,30960.0,9596.0,451.0,1.0,1.0,3667.8419641100254,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,17.17,6.0,2.97
8,8,3c6d7a64-7101-4f79-85a6-f233713e19c6,-2.1271388890000003,30.44777778,"(30.44777778, -2.1271388890000003)",9.0,0.1344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.16,0.0,0.0,0.0,0.0,0.0,0.0,94.21131276835996,563.4368896484375,537.9099731445312,11.0,0.0,0.0267014655691628,0.4559325436659305,0.0,0.0542059827343906,0.4631600080305159,0.0,0.0,0.0,0.0,0.5368399919694841,0.0036224668348997,0.676488995552063,0.5014514327049255,1911.4989821941024,0.1716666645370423,0.3187371399176954,5.583333333333333,4.083333333333333,5126.0,380.0,19.0,1.0,1.0,4192.658812409219,2206.0,3000.0,85.0,4.0,1.0,4803.5632230859455,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,35.04,6.5,3.43
9,9,f4c98790-ef30-49db-909c-46738bb0f6f7,-2.17083,29.23706,"(29.23706, -2.17083)",9.0,0.032222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333,0.9666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.9305912517011,1349.9520263671875,1278.876708984375,11.0,0.0006940829429116,0.0801665799062988,0.3652611487072705,0.0,0.0496269304181849,0.504251258025334,0.0,0.0,0.0,0.0,0.4957487419746659,0.0036793923499006,0.8142799735069275,0.6260761022567749,4084.774422083192,0.1108333338052034,0.3810666666666666,4.416666666666667,2.583333333333333,19966.0,3758.0,31.0,9.0,1.0,12277.50969307665,13454.0,13814.0,32.0,17.0,1.0,15064.080851067532,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15.83,15.83,3.24
